repo,path,number_of_headings,language,cve_count
kubernetes/website,content/zh-cn/docs/concepts/security/pod-security-admission.md,21,ZH,0
kubernetes/website,content/en/docs/concepts/security/pod-security-admission.md,11,EN,0
kubernetes/website,content/es/docs/concepts/security/pod-security-policy.md,0,ES,0
kubernetes/website,content/id/docs/concepts/policy/pod-security-policy.md,29,ID,0
kubernetes/website,content/zh-cn/docs/tasks/configure-pod-container/security-context.md,22,ZH,0
kubernetes/website,content/en/docs/concepts/security/pod-security-standards.md,16,EN,0
kubernetes/website,content/zh-cn/docs/concepts/security/pod-security-standards.md,27,ZH,0
kubernetes/website,content/zh-cn/docs/tasks/administer-cluster/migrating-from-dockershim/migrating-telemetry-and-security-agents.md,19,ZH,0
kubernetes/website,content/ja/docs/concepts/security/pod-security-admission.md,12,JA,0
kubernetes/website,content/en/docs/tasks/administer-cluster/migrating-from-dockershim/migrating-telemetry-and-security-agents.md,13,EN,0
kubernetes/website,content/ja/docs/tasks/configure-pod-container/security-context.md,12,JA,0
kubernetes/website,content/zh-cn/docs/concepts/security/security-checklist.md,21,ZH,4
kubernetes/website,content/pt-br/docs/concepts/security/pod-security-policy.md,0,PT,0
kubernetes/website,content/en/docs/concepts/security/security-checklist.md,12,EN,2
kubernetes/website,content/ko/docs/concepts/security/pod-security-policy.md,2,KO,0
kubernetes/website,content/ko/docs/reference/glossary/pod-security-policy.md,0,KO,0
kubernetes/website,content/ko/docs/concepts/security/pod-security-standards.md,17,KO,0
kubernetes/website,content/en/blog/_posts/2021-04-06-PodSecurityPolicy-Past-Present-and-Future.md,6,EN,0
kubernetes/website,content/zh-cn/docs/concepts/security/pod-security-policy.md,0,ZH,0
kubernetes/website,content/en/docs/concepts/security/pod-security-policy.md,0,EN,0
kubernetes/website,content/zh-cn/blog/_posts/2021-04-06-PodSecurityPolicy-Past-Present-and-Future.md,12,ZH,0
kubernetes/website,content/zh-cn/docs/setup/best-practices/enforcing-pod-security-standards.md,10,ZH,0
kubernetes/website,content/zh-cn/docs/reference/glossary/pod-security-policy.md,0,ZH,0
kubernetes/website,content/en/docs/setup/best-practices/enforcing-pod-security-standards.md,5,EN,0
kubernetes/website,content/ko/docs/setup/best-practices/enforcing-pod-security-standards.md,7,KO,0
kubernetes/website,content/ko/docs/reference/issues-security/security.md,9,KO,0
kubernetes/website,content/ko/docs/concepts/security/windows-security.md,6,KO,0
Rhaelzo/unity-reference-finder,SECURITY.md,3,EN,0
JeraCodeHub/testPublic,SECURITY.md,3,EN,0
vaibhav-developer/KinoApp,SECURITY.md,3,EN,0
Carloss0003/Redux,SECURITY.md,3,EN,0
esmaeryz/archer-ecommerce,SECURITY.md,3,EN,0
microsoft/msccl-scheduler,SECURITY.md,4,EN,0
karenpo430/codespaces-react,SECURITY.md,3,EN,0
zekierciyas/JetpackComposeSamples,SECURITY.md,3,EN,0
Amulsharma64/DynamicQuotes,SECURITY.md,3,EN,0
eggplantiny/flow-fields,SECURITY.md,3,EN,0
P1998-WH/Controlling-cursor-using-hand-gesture,SECURITY.md,3,EN,0
michael2to3/powerfull-schedule-politech,SECURITY.md,3,EN,0
samkenxstream/PSALM,SECURITY.md,3,EN,0
AngelRuiz22/versionesdoc,SECURITY.md,3,EN,0
leapwallet/leap-keychain-rn,SECURITY.md,2,EN,0
dosco/minds,SECURITY.md,3,EN,0
ShawnWichman/mermaid_kitchen,SECURITY.md,3,EN,0
BenjaminR339/BasicCProjects,SECURITY.md,3,EN,0
LeandroSoares/aws-lambda-scanner,SECURITY.md,3,EN,0
Peyxw/Fault-Lines-Api,SECURITY.md,3,EN,0
aptible/dryer-lint,SECURITY.md,3,EN,0
Abdullah963039/Typing_Speed_App,SECURITY.md,3,EN,0
cgerull/test-server,SECURITY.md,3,EN,0
silverspoon1120/html1120,SECURITY.md,3,EN,0
CybercentreCanada/assemblyline,SECURITY.md,3,EN,0
https-github-com-marklindsey11/LinkedIn-Fake-Profile-Filter-Modules,SECURITY.md,3,EN,0
Dedal378/vue-it-club,SECURITY.md,3,EN,0
battlingbugs/BBERP-NL,SECURITY.md,3,EN,0
DaveyCodeReal/monsters-of-mindpalace,SECURITY.md,3,EN,0
microsoft/devicescript-gateway,SECURITY.md,4,EN,0
aptible/go-deploy,SECURITY.md,3,EN,0
pilypio/backend,SECURITY.md,3,EN,0
microsoft/cliffordlayers,SECURITY.md,4,EN,0
aptible/policy-content,SECURITY.md,3,EN,0
aptible/policy-content,policies/information-security-governance-policy.md,57,EN,0
aptible/policy-content,policies/human-resources-security-policy.md,8,EN,0
aptible/policy-content,policies/device-security-policy.md,17,EN,0
aptible/policy-content,policies/physical-security-policy.md,14,EN,0
tobiaslabs/hunchjs.com,SECURITY.md,1,EN,0
Mohammed-Ehap-Ali-Zean-Al-Abdin/Mohammed-Ehap-Ali-Zean-Al-Abdin.github.io,SECURITY.md,3,EN,0
Codedwells/LCG,SECURITY.md,3,EN,0
enzo-g/o2switch-backup-restic,SECURITY.md,2,EN,0
code0094/Elsoro,SECURITY.md,3,EN,0
aptible/training,SECURITY.md,3,EN,0
aptible/training,security-awareness/security-culture.md,1,EN,0
aptible/training,security-awareness/security-policies.md,1,EN,0
aptible/training,hipaa-workforce/security.md,1,EN,0
aptible/training,security-awareness/ongoing-security-awareness.md,2,EN,0
aptible/training,hipaa-workforce/security-rule-2.md,1,EN,0
aptible/training,security-awareness/security-goals.md,1,EN,0
aptible/training,hipaa-workforce/security-2-rules.md,1,EN,0
aptible/training,hipaa-workforce/security-rule-1.md,3,EN,0
aptible/training,culture-and-security/build-security-culture.md,1,EN,0
OsDroidi/case-converter-pro,SECURITY.md,3,EN,0
jessiebelle/glowingintech,SECURITY.md,2,EN,0
thazsobral/newsletter-cast,SECURITY.md,3,EN,0
Shajudeenkm/Shajudeenkm-Personal-WEB-Site,SECURITY.md,3,EN,0
kujotaroooo/first-web,SECURITY.md,3,EN,0
aptible/mini-collector,SECURITY.md,3,EN,0
BenchaminDimitriu/Employee-Management-Webservice,SECURITY.md,3,EN,0
aptible/docker-rabbitmq,SECURITY.md,3,EN,0
aptible/opsworks-cli,SECURITY.md,3,EN,0
OWASP/wrongsecrets,SECURITY.md,3,EN,0
AllStarLink/Allmon3,SECURITY.md,3,EN,0
WeekendLabsLLC/website,SECURITY.md,3,EN,0
twobrassiere/Variant_callng_colon_cancer,SECURITY.md,3,EN,0
mbml84/mnist-pytorch,SECURITY.md,3,EN,0
aptible/aptible-omnibus-builder,SECURITY.md,3,EN,0
patriciodavalos/midnight,SECURITY.md,3,EN,0
microsoft/clarity-apps,SECURITY.md,4,EN,0
dajiaji/pyhpke,SECURITY.md,3,EN,0
facelessuser/backrefs,SECURITY.md,4,EN,1
facelessuser/backrefs,docs/src/markdown/about/security.md,0,EN,0
elysiaroot/Darak,SECURITY.md,3,EN,0
Kanzaji/Cat-Downloader-Legacy,SECURITY.md,3,EN,0
aptible/deploy-demo-app,SECURITY.md,3,EN,0
