repo,path,url
jillmnolan/linkedin-clone,SECURITY.md,https://github.com/jillmnolan/linkedin-clone/blob/379e365070517ee699f1c7c83c6b6c6055ee7a6c/SECURITY.md
Skillt2022/evaluaciones,SECURITY.md,https://github.com/Skillt2022/evaluaciones/blob/76e6f3a9e567fcd0bf3a62901605563c08e016c6/SECURITY.md
pietro1704/landingPageConsultoriaHelen,SECURITY.md,https://github.com/pietro1704/landingPageConsultoriaHelen/blob/762a41d27bb16057a9926bd2f3a861618ec0a6e7/SECURITY.md
Metwally-Sayed/Linnric,SECURITY.md,https://github.com/Metwally-Sayed/Linnric/blob/3ce6ad3b91ac8100946a1665f5d49f13b5cd27a5/SECURITY.md
webparham-afk/Arabijat,SECURITY.md,https://github.com/webparham-afk/Arabijat/blob/f03fa8266c2046eabb9525d1f7a0a10b08a8daec/SECURITY.md
oracle/weblogic-kubernetes-operator,SECURITY.md,https://github.com/oracle/weblogic-kubernetes-operator/blob/a8df9e560adfa0d138f3f01511fdd6d22a1d308f/SECURITY.md
oracle/zfssa-csi-driver,SECURITY.md,https://github.com/oracle/zfssa-csi-driver/blob/dd79bc1339cc522ecab8f80535867892e550a568/SECURITY.md
alstjq8251/Cs-tech,개념/spring/Spring Security.md,https://github.com/alstjq8251/Cs-tech/blob/481a018fe0be1c2248995fcb47daf30dd4b2e499/%EA%B0%9C%EB%85%90/spring/Spring%20Security.md
jimmy254-prog/indian_cuisine,SECURITY.md,https://github.com/jimmy254-prog/indian_cuisine/blob/d23b7aa635ae18ceaff930c100d5f4e4da9d4e02/SECURITY.md
usamakhankhattakk/my-website,SECURITY.md,https://github.com/usamakhankhattakk/my-website/blob/df97c3f44fd84e6ad08bf187fe3b55d652ac964c/SECURITY.md
Drapkoto/mega,SECURITY.md,https://github.com/Drapkoto/mega/blob/75bd70576b742b18f23d91ade0142ff616589ce5/SECURITY.md
lnq7x201/f8-tiktok,SECURITY.md,https://github.com/lnq7x201/f8-tiktok/blob/f8b3613d4e5d254fac5eae45284d6e1c2636f361/SECURITY.md
nextauthjs/.github,SECURITY.md,https://github.com/nextauthjs/.github/blob/215c2214a31fae0ec0c6078b4bff76847eb1d448/SECURITY.md
suhailthakrani/suit_up,SECURITY.md,https://github.com/suhailthakrani/suit_up/blob/c1f419792a64e52cafdc1da1209088a80a70b056/SECURITY.md
rahulrouniyar1/manojsoundsystem,SECURITY.md,https://github.com/rahulrouniyar1/manojsoundsystem/blob/292424d54713a3c18fd50e74672c0ad47949250f/SECURITY.md
hldblc/ProjectSurvival001a,SECURITY.md,https://github.com/hldblc/ProjectSurvival001a/blob/2ff5bc3f9a618d0ea0464fe4c359cc3aba607853/SECURITY.md
Inochi2D/inochi2d,SECURITY.md,https://github.com/Inochi2D/inochi2d/blob/026194d961f8b28fb39fad38a4857c47d5774791/SECURITY.md
Nasz-Elektryk/basedbook-backend,SECURITY.md,https://github.com/Nasz-Elektryk/basedbook-backend/blob/c66248d41e649c09466f8d6857a853d0bfc2bd79/SECURITY.md
InfoSecWarrior/Frequently-Asked-Questions,Information-Security-Cyber-Security.md,https://github.com/InfoSecWarrior/Frequently-Asked-Questions/blob/a40c8e32d881dd3118c69cbf19b96c11011267bb/Information-Security-Cyber-Security.md
Bean-Tools/blender-release-list,SECURITY.md,https://github.com/Bean-Tools/blender-release-list/blob/3a3d1c2db6d4c2333230fc0e86d9da22d9e10533/SECURITY.md
systemadminroot/Port_Scanner,SECURITY.md,https://github.com/systemadminroot/Port_Scanner/blob/f1c4a71f31de1965d0c4a9a791507a69c763ca98/SECURITY.md
World-Charity-Tour/camsol-components,SECURITY.md,https://github.com/World-Charity-Tour/camsol-components/blob/543da2c5471aa964f63d0305ee8d6845386dd1e3/SECURITY.md
AbidHasanSajid/AboutPage-V5.0,SECURITY.md,https://github.com/AbidHasanSajid/AboutPage-V5.0/blob/70891ca8772f0a1f4cd02e7ca8a731325e96dcbd/SECURITY.md
